code,description_en,description_uk,parent_code
FRS,Romance: multiple partners / lovers,Romance: multiple partners / lovers,FR
FRT,Romance: fantasy and paranormal,Любовне фентезі та любовна містика (любовний роман з паранормальними рисами),FR
FRU,Romance: time travel / time slip,Любовний роман про подорожі у часі,FR
FRV,Dark romance,Темний любовний роман,FR
FRW,Romance: bad boys / bad girls,Romance: bad boys / bad girls,FR
FRX,Erotic romance,Еротичний любовний роман,FR
FS,Family life fiction / Stories about family,Художня література про сімейне життя,F
FT,Family saga / generational saga fiction,Сімейні саги,F
FU,Humorous fiction,Гумористична художня література,F
FUP,Satirical fiction and parodies,Сатирична література і пародії,FU
FV,Historical fiction,Історична проза,F
FW,Religious and spiritual fiction,Релігійна і духовна література,F
FX,Fiction / Literature / Comics / Graphic novels: narrative themes,Художня література: сюжети,F
FXB,Narrative theme: coming of age,Сюжет: повноліття,FX
FXC,Narrative theme: books and the world of books,Narrative theme: books and the world of books,FX
FXD,Narrative theme: love / relationships,Сюжет: любов і стосунки,FX
FXE,Narrative theme: environmental issues / the natural world,Сюжет: екологічні проблеми,FX
FXED,Narrative theme: animals,Narrative theme: animals,FXE
FXF,Narrative theme: war and conflict,Narrative theme: war and conflict,FX
FXK,Narrative theme: health and illness,Narrative theme: health and illness,FX
FXL,"Narrative theme: death, grief, loss","Сюжет: смерть, горе, втрата",FX
FXM,Narrative theme: interior life / psychological fiction,Сюжет: життя,FX
FXN,Narrative theme: identity / belonging,Сюжет: ідентичність,FX
FXP,Narrative theme: politics / economics,Сюжет: політика,FX
FXQ,"Narrative theme: displacement, exile, migration","Сюжет: переселення, заслання, міграція",FX
FXR,Narrative theme: sense of place,Сюжет: відчуття місця,FX
FXS,Narrative theme: social issues / social problems,Сюжет: соціальні проблеми,FX
FXT,"Narrative theme: diversity, equity, equality, inclusion","Narrative theme: diversity, equity, equality, inclusion",FX
FXV,Narrative theme: journeys and voyages,Narrative theme: journeys and voyages,FX
FY,Fiction / Literature / Comics / Graphic novels: special features,Художня література: особливості,F
FYB,Short stories,"Оповідання, новели",FY
FYC,Novella (Short Novel),Novella (Short Novel),FY
FYD,Epistolary fiction / fictional diaries,Епістолярна література,FY
FYG,Fiction: continuations by another,Fiction: continuations by another,FY
FYH,Fiction: pastiche,Художня література: пастиш (стилізація),FY
FYJ,Fiction: dual or multiple timelines,Fiction: dual or multiple timelines,FY
FYL,Fiction: gothic,Fiction: gothic,FY
FYM,Fiction: mashup / crossover,Художня література: мешап (змішаний сюжет),FY
FYP,Fiction based on or inspired by true events,Fiction based on or inspired by true events,FY
FYQ,Fiction: special features: yaoi / BL / danmei novels,Художня література: яой / БЛ романи,FY
FYR,Category fiction,Категорія художньої літератури,FY
FYS,Fiction: special features: ranobe (‘light novels’),Художня література: ранобе «легкі романи»),FY
FYT,Fiction in translation,Художня література в перекладі (перекладна),FY
FYV,Fiction: inspired by or adapted from other media,Адаптована художня література,FY
FYW,Fiction: special features: game-related / LitRPG stories,"Художня література, пов’язана з іграми",FY
FZ,Fiction companion works,Супутня художня література,F
G,"Reference, Information and Interdisciplinary subjects","Довідкова, інформаційна та міждисциплінарна тематика",
GB,Encyclopaedias and reference works,Енциклопедії та довідники,G
GBA,General encyclopaedias,Загальні енциклопедії,GB
